CHIP_MODEL,CHIP_FAMILY,CORE,ARCH,FLOAT_ABI,STARTUP_FILE
mspm0c1103,mspm0c110x,cortex-m0plus,armv6-m,soft,startup_mspm0c110x_gcc
mspm0c1104,mspm0c110x,cortex-m0plus,armv6-m,soft,startup_mspm0c110x_gcc
mspm0c1105,mspm0c1105_c1106,cortex-m0plus,armv6-m,soft,startup_mspm0c1105_c1106_gcc
mspm0c1106,mspm0c1105_c1106,cortex-m0plus,armv6-m,soft,startup_mspm0c1105_c1106_gcc
mspm0g1105,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g110x_gcc
mspm0g1106,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g110x_gcc
mspm0g1107,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g110x_gcc
mspm0g1207,mspm0gx218_gx207,cortex-m0plus,armv6-m,soft,startup_mspm0g120x_gcc
mspm0g1218,mspm0gx218_gx207,cortex-m0plus,armv6-m,soft,startup_mspm0g121x_gcc
mspm0g1505,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g150x_gcc
mspm0g1506,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g150x_gcc
mspm0g1507,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g150x_gcc
mspm0g1518,mspm0gx51x,cortex-m0plus,armv6-m,soft,startup_mspm0g151x_gcc
mspm0g1519,mspm0gx51x,cortex-m0plus,armv6-m,soft,startup_mspm0g151x_gcc
mspm0g3105,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g310x_gcc
mspm0g3106,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g310x_gcc
mspm0g3107,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g310x_gcc
mspm0g3207,mspm0gx218_gx207,cortex-m0plus,armv6-m,soft,startup_mspm0g320x_gcc
mspm0g3218,mspm0gx218_gx207,cortex-m0plus,armv6-m,soft,startup_mspm0g321x_gcc
mspm0g3505,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g350x_gcc
mspm0g3506,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g350x_gcc
mspm0g3507,mspm0g1x0x_g3x0x,cortex-m0plus,armv6-m,soft,startup_mspm0g350x_gcc
mspm0g3518,mspm0gx51x,cortex-m0plus,armv6-m,soft,startup_mspm0g351x_gcc
mspm0g3519,mspm0gx51x,cortex-m0plus,armv6-m,soft,startup_mspm0g351x_gcc
mspm0g5115,mspm0g511x,cortex-m0plus,armv6-m,soft,startup_mspm0g511x_gcc
mspm0g5116,mspm0g511x,cortex-m0plus,armv6-m,soft,startup_mspm0g511x_gcc
mspm0g5117,mspm0g511x,cortex-m0plus,armv6-m,soft,startup_mspm0g511x_gcc
mspm0g5187,mspm0g518x,cortex-m0plus,armv6-m,soft,startup_mspm0g518x_gcc
mspm0h3215,mspm0h321x,cortex-m0plus,armv6-m,soft,startup_mspm0h321x_gcc
mspm0h3216,mspm0h321x,cortex-m0plus,armv6-m,soft,startup_mspm0h321x_gcc
mspm0l1105,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l110x_gcc
mspm0l1106,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l110x_gcc
mspm0l1116,mspm0l111x,cortex-m0plus,armv6-m,soft,startup_mspm0l111x_gcc
mspm0l1117,mspm0l111x,cortex-m0plus,armv6-m,soft,startup_mspm0l111x_gcc
mspm0l1126,mspm0l211x_l112x,cortex-m0plus,armv6-m,soft,startup_mspm0l112x_gcc
mspm0l1127,mspm0l211x_l112x,cortex-m0plus,armv6-m,soft,startup_mspm0l112x_gcc
mspm0l1227,mspm0l122x_l222x,cortex-m0plus,armv6-m,soft,startup_mspm0l122x_gcc
mspm0l1228,mspm0l122x_l222x,cortex-m0plus,armv6-m,soft,startup_mspm0l122x_gcc
mspm0l1303,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l130x_gcc
mspm0l1304,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l130x_gcc
mspm0l1305,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l130x_gcc
mspm0l1306,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l130x_gcc
mspm0l1343,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l134x_gcc
mspm0l1344,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l134x_gcc
mspm0l1345,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l134x_gcc
mspm0l1346,mspm0l11xx_l13xx,cortex-m0plus,armv6-m,soft,startup_mspm0l134x_gcc
mspm0l2116,mspm0l211x_l112x,cortex-m0plus,armv6-m,soft,startup_mspm0l211x_gcc
mspm0l2117,mspm0l211x_l112x,cortex-m0plus,armv6-m,soft,startup_mspm0l211x_gcc
mspm0l2227,mspm0l122x_l222x,cortex-m0plus,armv6-m,soft,startup_mspm0l222x_gcc
mspm0l2228,mspm0l122x_l222x,cortex-m0plus,armv6-m,soft,startup_mspm0l222x_gcc
